Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-08-02,47809.874991337,48059.87628638,47099.933425537,47320.120901544,590298.93414935
2018-08-03,48230.063503379,48420.126599735,47999.938087693,48280.063762387,570599.39819636
2018-08-06,48180.06324437,48609.879135476,47749.93679265,48320.126081717,464800.72825178
2018-08-07,48349.939900754,48359.877840432,47459.873178277,47720.122973614,453799.01124258
2018-08-08,47559.873696294,48080.062726353,47349.934720581,47480.059618249,524500.50699659
2018-08-09,47959.875768363,47959.875768363,47389.99703991,47620.122455596,417299.21231785
2018-08-10,47959.875768363,48090.000666032,47380.059100232,47409.872919268,765499.51458002
2018-08-13,47280.058582214,47380.059100232,46449.930058425,46589.992895772,687499.60463305
2018-08-14,47199.933943555,48459.87835845,47109.871365216,48459.87835845,763200.76848792
2018-08-15,48470.126858743,48609.879135476,48040.000407023,48240.001443058,457198.99163009
2018-08-16,47799.937051658,49430.069719586,47539.997816936,49270.131002882,964100.03579495
2018-08-17,49170.130484864,49470.132038916,48159.876804398,48199.939123728,645799.85464498
2018-08-20,48470.126858743,49140.006105213,48449.940418771,48959.880948536,475900.33275391
2018-08-21,48770.128412795,50270.136183055,48509.878617458,50090.011026378,742200.35927368
2018-08-22,50390.01258043,50780.07671282,49470.132038916,49730.071273638,521198.73610034
2018-08-23,50190.011544395,51170.140845211,50030.07282769,51099.95414623,749199.95901454
2018-08-24,51080.078266872,52299.960362437,50999.953628212,52020.145248358,694999.58978183
2018-08-27,52640.024235819,53020.150428531,52309.898302116,52659.900115177,571199.92508552
2018-08-28,52790.025012845,52949.96372955,51870.144471332,51880.082411011,701299.80914561
2018-08-29,51800.11509002,51870.031215762,51040.009245119,51049.908873542,601400.51173944
2018-08-30,51840.022967103,52059.980336141,51329.882739898,51440.016106111,557101.15208334
2018-08-31,51239.857993921,51860.131587339,51229.958365497,51810.014718444,475100.1753535
2018-09-03,51699.881352231,52520.003694451,51520.141223665,52369.962451156,496900.42792509
2018-09-04,52640.036689088,52850.094429701,51689.981723808,52200.121951013,566300.04279955
2018-09-05,53000.135672997,54400.005004776,52899.901935208,53849.956900488,1113399.0416946
